,0
4b5eeb300368260019c1fbc7a3c718fc,104544.0
0305a4993ecf2d8ef4149fdfc7592603,63611.0
868528ca947bc57b69ffdf83e6b73bae,52111.0
154709e160e8cada6bfb21115acc80f5,41104.0
9118606a87ac19f8d041da20f16f3236,24042.0
2bc794a195ccb3f80f49f5c8545dfb53,23216.0
f8f937eeee7762f446a0e87292f98eb6,22335.0
79e9e337b10e2d298bb1b3bde946782d,20273.0
535696cecf56f03d3401d7d6dbe66d7b,20247.0
44ff26d8105cf822417b4b0c4eb27c02,19626.0
bfbed36e63b69fec4627424163d20118,19444.0
cdd14cce4ec44b3235923652b71e947e,13564.0
41fedaa9200e2933821f84ecdc0b0772,13235.0
0160e14a78b18b903618f11bc732746e,13140.0
c8a263244e43cfd3445b822aa78a1011,12956.0
3769253c45f898cc19d27c317dbd5616,11644.0
ab6b063ed43d8cb3008e157a0a305c47,11401.0
4e791b0017d210668ffe94918d9afed4,11057.0
de2b74b8890d40f4462c2a39ba26c418,10007.0
75e8e3149c0eac3b7cd65ed7fb07ea51,9761.0
f59a4d48a03cc224462bf83e4d4ab126,9383.0
41d2d87cdcbd18cf8055c3cdb88d98f1,8763.0
b44621e5c80607cdfacbf7a81e1cbe41,8400.0
ee0fb26fca3afb05e0b288d6fcab899e,8093.0
6a1e8164bf2df186a2107a2f0c6bc6ec,7457.0
3982159c2603cacc4bc4893003bda323,7282.0
d18ba88a44e9920c10c20fb09b133dce,6413.0
41f2fce8d5ebdd313900c9b16a533108,5867.0
d781fa7e866ac295ce9a56bd97912983,5537.0
d86ef5d6394f5dbeb945f39aa25e7426,5325.0
c04b03fdea7f81c8c52fc540c50a24a4,5189.0
ae881162d813e498f40bf33b8e42d54a,5093.0
0c4b17f88dae47697d3bceb3663f47ce,5012.0
1f0a072da4906270a684a389c1586582,5005.0
92fe248200f136a33673e61cff0b2461,4796.0
052128d7d424728578efe7852b0afd0d,4626.0
a4c08e2c3a34038ea877b16d01736837,4447.0
aee707afe3847427a6d3d34e31437923,4343.0
393e6e2cbe258ed27a4ca0a2ee0d2cdc,4330.0
725701177603db7c0365cb72f504d4b4,4281.0
90d32ffe026535b392c0bad850f213c4,4201.0
0a69950e803a5d9e7166c450e44f43cf,4129.0
fb07069b40b4a9c76110ca08375a29ba,4100.0
59fefb91cc66ef6930b0201e4bf24cbb,4098.0
acfe4c003905a7074aeaf385b78ad9e0,4033.0
3b795f0122b28b0e6a07bec73894acee,3981.0
7fee9350277038eef98dee70b4190563,3663.0
2b148d88c49e316f85b6e7863089a886,3660.0
265b3906c979e85ab69f8fa414a10646,3644.0
9b62995e96fda3f88d7ad6fb183939d5,3561.0
f981fd696e8d518b6ad930626f976618,3549.0
63e29d89c820b4baafc3f5622946d6ee,3427.0
a3a07c53adbdf8e5fd7242899b2780a0,3304.0
d2613a43f4ed1dda8a673e7fb251ebef,3243.0
b8b19c4f0719a5d5b965a0f50f05827c,3217.0
cba5f5b1153235425628bd77a28257c7,3186.0
29f7a9fc9689ce3212644f0d5e19c44f,3094.0
bb173654871d294466912ef22f685faa,3057.0
c915eeb783ee6d5c8e917ff5934f4e10,2951.0
01e0b7ac306895be84179f2715af269b,2903.0
93dbc367e2eb343c57568c0de5ce492c,2853.0
7a20f7055ca2c7462cfa6a7aef16ec28,2827.0
a1b971c01ce0b220275c218adbe717c1,2813.0
edcd08274206e5737b5898191e95bf9b,2800.0
b9e8f0a95b7ddb4f0597429a04dcdc19,2783.0
699071a4a7ce68918e4cd93a61275ecd,2615.0
3adba377bf51cc6284b4f8291b3dd318,2611.0
6aa22a42a3d7906af8a3c5bf6370d6ef,2523.0
155c05649150f44eb96ae7a6f6d928b6,2506.0
62f7636a15b37489ce25ba32578bdc10,2462.0
f3194c2eb241f821239009ca55dbb30c,2453.0
8f0a7d866b4e5ebf1e34d0a44eb950a4,2408.0
ee592c19d81bad3de864ce4f2c334902,2362.0
fea5c05e9b8245c5ca46f6673f59e0bf,2348.0
b00d44992702bd3743d7f353638d42f9,2320.0
49aa436afb668bd62899a1e3e5893a41,2297.0
bb370945a6777f712cfd963c55f2ff54,2295.0
49ea1148e38d2ef99c03949136cb5bc9,2262.0
9e1c6b703a4312cce306c7757688a351,2227.0
816b94bcd935ca38afe71fd1e3c5356c,2209.0
83b11de4318b02c2e01bbd0146907514,2197.0
ca79c197c90ff9491b2b886a810e9296,2195.0
1d17561d16d803f652b0d6bdd671c1cc,2129.0
880968796af86b3d6270c228fe8e7026,2109.0
ced140ebd498ea4d3df1aad464c478e9,2068.0
5db87e32b660b7e501a143159b179ff8,2034.0
e063d1c3c9daf7390e5475e48d9b01c5,2027.0
dd29d5734196dc92232bafc6fef0c2a1,2024.0
64222ae4c3f0f1cc06375a3814da355d,2010.0
32875774cffdc8c820f91d8e86f9a0e6,1983.0
823698689031b0b9c2c5152f92ffc70f,1977.0
cf6679308c719f0acae553c645fc9beb,1922.0
